City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,luuq,3.7938,42.5445,24.68,61,64,8.83,SO,1690412953
304,ghanzi,-21.5667,21.7833,17.36,33,12,4.15,BW,1690412450
305,lazaro cardenas,17.9583,-102.2,31.02,59,38,4.6,MX,1690412483
306,morehead city,34.7229,-76.726,31.03,78,0,5.14,US,1690412463
307,chos malal,-37.3781,-70.2709,7.0,44,100,0.88,AR,1690412954
308,krotovka,53.2858,51.1686,19.44,60,17,2.72,RU,1690412954
309,baruun-urt,46.6806,113.2792,17.82,63,1,3.23,MN,1690412955
310,gambiran satu,-8.3939,114.1464,19.56,94,51,0.92,ID,1690412955
311,mulanje,-16.0316,35.5,15.28,95,56,2.31,MW,1690412955
312,saint-pierre,-21.3393,55.4781,19.82,83,20,2.57,RE,1690412380
313,pergamos,35.0417,33.7083,27.83,42,0,1.99,GB,1690412955
314,azadshahr,34.7909,48.5707,17.27,39,0,1.03,IR,1690412956
315,weiser,44.251,-116.9693,35.17,27,0,0.45,US,1690412956
316,sao joao da barra,-21.6403,-41.0511,23.05,82,25,7.3,BR,1690412340
317,queenstown,-31.8976,26.8753,11.25,82,100,4.1,ZA,1690412956
318,ulan bator,47.9077,106.8832,12.07,87,20,0.0,MN,1690412870
319,djamaa,33.5339,5.9931,35.41,16,0,5.78,DZ,1690412448
320,hacienda huancane,-15.8222,-70.8856,3.56,17,0,5.1,PE,1690412957
321,fisterra,42.9049,-9.2629,19.3,86,15,6.03,ES,1690412957
322,port macquarie,-31.4333,152.9167,13.27,70,2,0.91,AU,1690412421
323,odda,60.0691,6.5457,16.54,91,40,0.5,NO,1690412957
324,kavaratti,10.5669,72.642,27.65,76,100,6.51,IN,1690412958
325,brunswick,41.2381,-81.8418,28.83,94,100,3.6,US,1690412913
326,new norfolk,-42.7826,147.0587,9.84,85,100,1.48,AU,1690412386
327,sheridan,44.8333,-106.9173,34.27,23,0,3.6,US,1690412958
328,shingu,33.7333,135.9833,30.16,72,9,0.77,JP,1690412454
329,tangalle,6.024,80.7911,24.79,90,100,4.18,LK,1690412385
330,santo domingo de la calzada,42.4285,-2.9555,15.22,86,0,0.61,ES,1690412959
331,bardai,11.65,7.2333,24.5,79,93,4.97,NG,1690412959
332,el porvenir,13.7617,-87.3458,30.63,51,72,2.01,HN,1690412959
333,labytnangi,66.6572,66.4183,15.79,90,96,5.88,RU,1690412959
334,allapalli,19.4167,80.0667,25.34,94,99,1.19,IN,1690412960
335,malango,-2.9627,119.9001,18.34,95,48,0.91,ID,1690412960
336,coahuayana de hidalgo,18.7,-103.6583,31.53,62,83,2.47,MX,1690412960
337,port alberni,49.2413,-124.8028,24.4,47,91,4.92,CA,1690412960
338,machali,-34.1833,-70.6667,9.29,79,100,1.34,CL,1690412961
339,darzab,35.9774,65.3783,25.91,17,10,3.21,AF,1690412961
340,constitucion,-35.3333,-72.4167,11.0,79,100,4.07,CL,1690412961
341,zaozersk,69.4005,32.4476,10.42,96,100,0.28,RU,1690412961
342,crane,31.3974,-102.3501,36.47,21,29,7.25,US,1690412961
343,churapcha,62.0025,132.4325,18.7,48,47,3.9,RU,1690412962
344,qrendi,35.8347,14.4583,25.81,69,0,8.23,MT,1690412963
345,azul,-36.777,-59.8585,6.0,71,46,3.8,AR,1690412404
346,kingscliff,-28.2667,153.5667,17.89,63,100,2.57,AU,1690412964
347,tokamachi,37.1333,138.7667,31.12,65,20,0.34,JP,1690412964
348,kokstad,-30.5472,29.4241,10.9,39,26,2.26,ZA,1690412964
349,smirnovo,54.5125,69.4222,15.09,90,17,2.79,KZ,1690412965
350,aldinga beach,-35.2793,138.4604,15.81,58,3,5.86,AU,1690412965
351,choibalsan,48.0667,114.5,17.87,73,2,3.21,MN,1690412965
352,piacenza,45.0468,9.6994,21.81,56,13,1.88,IT,1690412966
353,obo,5.3998,26.4869,20.93,93,100,1.35,CF,1690412966
354,bourgoin-jallieu,45.5833,5.2833,17.73,70,30,0.93,FR,1690412966
355,juigne,47.7188,-0.3941,18.42,82,100,4.12,FR,1690412966
356,moravce,46.1369,14.745,12.08,92,49,0.91,SI,1690412967
357,leava,-14.3,-178.1667,25.99,74,85,7.08,WF,1690412967
358,tot'ma,59.9747,42.7642,16.78,100,94,1.54,RU,1690412967
359,kyabe,9.4515,18.9449,21.29,92,32,0.25,TD,1690412967
360,kyshtovka,56.555,76.6271,16.98,72,100,0.78,RU,1690412967
361,malvan,16.0667,73.4667,26.08,86,100,8.05,IN,1690412968
